Section,Field_ID,Label_ZH,Label_EN,Instructions,Merchant_fill
INFO,readme,使用说明,How to use,"Open in Microsoft Excel or Google Sheets. UTF-8. Field_ID aligns with admin /guanli/merchants/onboard. Documents: PDF or JPG/PNG/WebP. Category must match English enum exactly.",
A,account_mode,账号方式,Account path,"create_user = new account | link_existing = existing Supabase user",
A,login_email,登录邮箱,Login email,Required. Same value as application contact email in admin.,
A,initial_password_choice,新号密码策略,New-account password strategy,"If new: merchant_provided | system_generated. If existing leave blank.",
A,initial_password,初始密码(≥8位),Initial password,Fill only if merchant_provided; min 8 characters.,
A,user_id,已有账号User ID,Supabase User ID,"If link_existing: UUID. If unknown write UNKNOWN (ops will Lookup by email).",
B,registration_type,门店类型,Store type,single | multiple,
B,brand_name,品牌名称,Brand name,Optional when multiple,
B,brand_description,品牌描述,Brand description,Optional when multiple,
C,company_name,公司法定名称,Legal company name,,
C,contact_name,联系人姓名,Contact person name,,
C,phone,电话,Phone,Include country/area code if applicable.,
D,category,经营类目,Business category,"Exactly one: Restaurant | SpaAndMassage | HairAndBeauty | Fitness | FunAndGames | NailAndLash | Wellness | Other",
E,ein,EIN/税号,EIN / Tax ID,Format XX-XXXXXXX example 12-3456789,
E,doc_business_license,营业执照文件,business_license,Filename or URL/Drive link; use this API code in admin upload slot.,
E,doc_owner_id,店主或法人身份证明,owner_id,,
E,doc_storefront_photo,店面照片,storefront_photo,,
E,doc_liability_insurance,一般责任险,liability_insurance,,
E,doc_health_permit,卫生许可(按需),health_permit,"Required if category is Restaurant | SpaAndMassage | NailAndLash; else leave blank or N/A",
E,doc_food_service_license,食品经营许可(按需),food_service_license,Required if category is Restaurant; else N/A,
E,doc_cosmetology_license,美容执照(按需),cosmetology_license,"Required if SpaAndMassage | HairAndBeauty | NailAndLash; else N/A",
E,doc_massage_therapy_license,按摩治疗执照(按需),massage_therapy_license,Required if SpaAndMassage | Wellness; else N/A,
E,doc_facility_license,场馆许可(按需),facility_license,Required if Fitness; else N/A,
E,doc_general_business_permit,一般营业许可(按需),general_business_permit,Required if Other; else N/A,
E,extra_documents,其他材料,Extra documents,"Optional: lines of api_code + description or link",
F,address1,地址行1,Address line 1,US street line required,
F,address2,地址行2,Address line 2,Optional suite/unit,
F,city,城市,City,,
F,state,州(两字母),State,Two letters e.g. TX,
F,zipcode,邮编,ZIP code,5 digits or ZIP+4 e.g. 75201 or 75201-1234,
G,consent_reference,授权或工单编号,Authorization / ticket reference,Maps to admin Consent/ticket reference; must be traceable.,
G,audit_note,内部备注,Internal note,Optional; maps to admin Internal note.,
H,auth_platform_name,被授权平台名称,Authorized platform name,Company you authorize to submit on your behalf,
H,signature_name,签署人姓名,Typed full name,Acts as signature,
H,signature_date,签署日期,Date,YYYY-MM-DD,
H,electronic_ticket_id,电子工单号,Electronic case ID,If applicable,
OP,check_email_path,核对邮箱与新建已有,Check email vs new/existing,Operator: confirm no 409 duplicate mistake,
OP,check_docs_category,核对证件与类目,Check documents vs category,Operator: all required slots filled,
OP,check_address_zip,核对地址邮编,Check US address/ZIP,Operator: ZIP pattern valid,
OP,check_consent_ref,已填Consent工单号,Consent reference filled,Operator,
OP,check_password_delivery,一次性密码已安全送达,OTP delivered securely,Operator if system-generated password,
